gene_id	SRR518892
YDR260C	10.0
YDR261C	7.0
YDR262W	12.0
YDR263C	8.0
YDR264C	17.0
YDR265W	2.0
YDR266C	0.0
YDR267C	5.0
YDR268W	7.0
YDR269C	0.0
YDR270W	5.0
YDR271C	1.0
YDR272W	3.0
YDR273W	1.0
YDR274C	2.0
YDR275W	5.0
YDR276C	66.0
YDR277C	1.0
YDR278C	0.0
YDR279W	3.0
YDR280W	4.0
YDR281C	6.0
YDR282C	6.0
YDR283C	2.0
YDR284C	7.0
YDR285W	2.0
YDR286C	14.0
YDR287W	1.0
YDR288W	1.0
YDR289C	0.0
YDR290W	1.0
YDR291W	5.0
YDR292C	13.0
YDR293C	3.0
YDR294C	4.0
YDR295C	4.0
YDR296W	9.0
YDR297W	19.0
YDR298C	38.0
YDR299W	6.0
YDR300C	11.0
YDR301W	5.0
YDR302W	8.0
YDR303C	8.0
YDR304C	60.0
YDR305C	7.0
YDR306C	1.0
YDR307W	4.0
YDR308C	24.144
YDR309C	7.0
YDR310C	7.0
YDR311W	3.0
YDR312W	3.0
YDR313C	0.0
